==3125== Memcheck, a memory error detector
==3125== Copyright (C) 2002-2022, and GNU GPL'd, by Julian Seward et al.
==3125== Using Valgrind-3.19.0 and LibVEX; rerun with -h for copyright info
==3125== Command: ./bank input-1.txt
==3125== 
Current Savings Balance for 9980216556183046: 2243715.94
Current Savings Balance for 3491588839892013: 4038064.98
Current Savings Balance for 6847226299857821: 311804.27
Current Savings Balance for 4659001911688512: 558622.77
Current Savings Balance for 9980216556183046: 2243818.11
Current Savings Balance for 0793710490620664: 4659739.67
Current Savings Balance for 6847226299857821: 313472.52
Current Savings Balance for 1093278990669429: 1048721.57
Current Savings Balance for 3491588839892013: 4039651.62
Current Savings Balance for 8255171551994747: 3293064.59
Current Savings Balance for 7966380955913694: 3037452.48
Current Savings Balance for 8255171551994747: 3292969.99
Current Savings Balance for 8028716243309826: 1538096.46
Current Savings Balance for 7966380955913694: 3032421.99
Current Savings Balance for 0793710490620664: 4665492.30
Current Savings Balance for 3491588839892013: 4034314.04
Current Savings Balance for 7966380955913694: 3028871.19
Current Savings Balance for 1093278990669429: 1051480.44
Current Savings Balance for 1093278990669429: 1051300.76
Current Savings Balance for 7966380955913694: 3024029.06
Current Savings Balance for 4659001911688512: 561848.47
Current Savings Balance for 9980216556183046: 2244216.90
Current Savings Balance for 1093278990669429: 1047424.40
Current Savings Balance for 9980216556183046: 2238592.37
Current Savings Balance for 4659001911688512: 564053.63
Current Savings Balance for 7966380955913694: 3021584.57
Current Savings Balance for 9980216556183046: 2239070.79
Current Savings Balance for 0793710490620664: 4663021.86
Current Savings Balance for 1093278990669429: 1047916.74
Current Savings Balance for 2076962079974167: 4223722.72
Current Savings Balance for 1093278990669429: 1047916.74
Current Savings Balance for 8028716243309826: 1541054.23
Current Savings Balance for 7966380955913694: 3020559.24
Current Savings Balance for 3491588839892013: 4041728.42
Current Savings Balance for 4659001911688512: 567180.54
Current Savings Balance for 0793710490620664: 4662118.97
Current Savings Balance for 4659001911688512: 567180.54
Current Savings Balance for 9980216556183046: 2240055.90
Current Savings Balance for 6847226299857821: 320344.06
Current Savings Balance for 1093278990669429: 1049375.59
Current Savings Balance for 1093278990669429: 1049375.59
Current Savings Balance for 9980216556183046: 2239129.74
Current Savings Balance for 6847226299857821: 319637.51
Current Savings Balance for 8255171551994747: 3292943.08
Current Savings Balance for 8255171551994747: 3298669.35
Current Savings Balance for 3491588839892013: 4036902.59
Current Savings Balance for 0793710490620664: 4661700.01
Current Savings Balance for 0793710490620664: 4662574.71
Current Savings Balance for 8028716243309826: 1542672.15
Current Savings Balance for 1093278990669429: 1044867.47
Current Savings Balance for 9980216556183046: 2237982.06
Current Savings Balance for 8255171551994747: 3300390.60
Current Savings Balance for 3491588839892013: 4027655.60
Current Savings Balance for 8255171551994747: 3302483.69
Current Savings Balance for 1093278990669429: 1043491.69
Current Savings Balance for 3491588839892013: 4026886.33
Current Savings Balance for 2076962079974167: 4217555.70
Current Savings Balance for 8255171551994747: 3305171.03
Current Savings Balance for 8255171551994747: 3307055.37
Current Savings Balance for 0793710490620664: 4664842.72
Current Savings Balance for 1093278990669429: 1042536.66
Current Savings Balance for 8028716243309826: 1544378.72
Current Savings Balance for 7966380955913694: 3023793.04
Current Savings Balance for 1093278990669429: 1038190.80
