==3078== Memcheck, a memory error detector
==3078== Copyright (C) 2002-2022, and GNU GPL'd, by Julian Seward et al.
==3078== Using Valgrind-3.19.0 and LibVEX; rerun with -h for copyright info
==3078== Command: ./bank input-1.txt
==3078== 
Current Savings Balance for 9980216556183046: 2243715.94
Current Savings Balance for 3491588839892013: 4038064.98
Current Savings Balance for 6847226299857821: 311804.27
Current Savings Balance for 4659001911688512: 558622.77
Current Savings Balance for 9980216556183046: 2243818.11
Current Savings Balance for 0793710490620664: 4659739.67
Current Savings Balance for 6847226299857821: 313472.52
Current Savings Balance for 2076962079974167: 4229142.05
Current Savings Balance for 8255171551994747: 3292901.52
Current Savings Balance for 6847226299857821: 309515.82
Current Savings Balance for 2076962079974167: 4231773.48
Current Savings Balance for 0793710490620664: 4658291.60
Current Savings Balance for 2076962079974167: 4230379.16
Current Savings Balance for 8255171551994747: 3288796.39
Current Savings Balance for 0793710490620664: 4659866.46
Current Savings Balance for 4659001911688512: 561383.22
Current Savings Balance for 9980216556183046: 2238849.82
Current Savings Balance for 4659001911688512: 561821.36
Current Savings Balance for 9980216556183046: 2238546.22
Current Savings Balance for 6847226299857821: 318314.68
Current Savings Balance for 3491588839892013: 4035410.15
Current Savings Balance for 3491588839892013: 4035363.35
Current Savings Balance for 3491588839892013: 4035363.35
Current Savings Balance for 6847226299857821: 326297.61
Current Savings Balance for 8028716243309826: 1539591.45
Current Savings Balance for 0793710490620664: 4657218.98
Current Savings Balance for 8255171551994747: 3285241.06
Current Savings Balance for 4659001911688512: 563634.85
Current Savings Balance for 3491588839892013: 4039864.03
Current Savings Balance for 0793710490620664: 4656721.05
Current Savings Balance for 4659001911688512: 563074.11
Current Savings Balance for 3491588839892013: 4039434.49
Current Savings Balance for 6847226299857821: 337023.76
Current Savings Balance for 6847226299857821: 337023.76
Current Savings Balance for 3491588839892013: 4038988.67
Current Savings Balance for 8255171551994747: 3284389.34
Current Savings Balance for 9980216556183046: 2238463.08
Current Savings Balance for 2076962079974167: 4219753.71
Current Savings Balance for 8255171551994747: 3285501.40
Current Savings Balance for 2076962079974167: 4217718.44
Current Savings Balance for 4659001911688512: 559185.64
Current Savings Balance for 6847226299857821: 339511.29
Current Savings Balance for 3491588839892013: 4031047.17
Current Savings Balance for 2076962079974167: 4215122.16
Current Savings Balance for 3491588839892013: 4031462.90
Current Savings Balance for 1093278990669429: 1053595.80
Current Savings Balance for 4659001911688512: 559218.72
Current Savings Balance for 1093278990669429: 1055803.95
Current Savings Balance for 1093278990669429: 1056189.35
Current Savings Balance for 6847226299857821: 349762.56
Current Savings Balance for 2076962079974167: 4204541.23
Current Savings Balance for 8028716243309826: 1540303.89
Current Savings Balance for 7966380955913694: 3033015.59
Current Savings Balance for 8028716243309826: 1540303.89
Current Savings Balance for 3491588839892013: 4028166.84
Current Savings Balance for 9980216556183046: 2242132.49
Current Savings Balance for 8255171551994747: 3290723.31
Current Savings Balance for 8255171551994747: 3289824.04
Current Savings Balance for 3491588839892013: 4029050.51
Current Savings Balance for 0793710490620664: 4652177.92
Current Savings Balance for 6847226299857821: 351457.38
Current Savings Balance for 4659001911688512: 564677.25
Current Savings Balance for 8255171551994747: 3285142.01
Current Savings Balance for 8028716243309826: 1538979.49
Current Savings Balance for 1093278990669429: 1059041.24
Current Savings Balance for 9980216556183046: 2245050.77
Current Savings Balance for 3491588839892013: 4030772.11
Current Savings Balance for 0793710490620664: 4653846.59
Current Savings Balance for 9980216556183046: 2242452.96
Current Savings Balance for 4659001911688512: 565179.40
Current Savings Balance for 1093278990669429: 1055757.03
Current Savings Balance for 8255171551994747: 3283103.44
Current Savings Balance for 8255171551994747: 3282804.30
Current Savings Balance for 1093278990669429: 1055153.81
Current Savings Balance for 0793710490620664: 4655889.10
Current Savings Balance for 1093278990669429: 1059616.76
Current Savings Balance for 9980216556183046: 2240800.09
Current Savings Balance for 1093278990669429: 1059777.52
Current Savings Balance for 3491588839892013: 4029399.18
Current Savings Balance for 8028716243309826: 1526921.68
Current Savings Balance for 0793710490620664: 4654676.71
Current Savings Balance for 4659001911688512: 576077.73
Current Savings Balance for 2076962079974167: 4196211.22
Current Savings Balance for 0793710490620664: 4652243.02
Current Savings Balance for 7966380955913694: 3014366.64
Current Savings Balance for 8028716243309826: 1529769.28
Current Savings Balance for 4659001911688512: 572919.46
Current Savings Balance for 9980216556183046: 2244531.05
Current Savings Balance for 2076962079974167: 4192536.78
Current Savings Balance for 4659001911688512: 573896.06
Current Savings Balance for 1093278990669429: 1064218.40
Current Savings Balance for 6847226299857821: 359231.35
Current Savings Balance for 8255171551994747: 3276384.30
Current Savings Balance for 8255171551994747: 3278273.52
Current Savings Balance for 3491588839892013: 4022213.06
Current Savings Balance for 2076962079974167: 4190564.93
Current Savings Balance for 9980216556183046: 2238981.55
Current Savings Balance for 9980216556183046: 2236492.24
Current Savings Balance for 9980216556183046: 2237299.71
Current Savings Balance for 1093278990669429: 1066757.75
Current Savings Balance for 9980216556183046: 2235438.15
Current Savings Balance for 7966380955913694: 3016598.21
Current Savings Balance for 3491588839892013: 4016799.41
Current Savings Balance for 0793710490620664: 4646456.98
Current Savings Balance for 8255171551994747: 3279016.28
Current Savings Balance for 8255171551994747: 3279140.33
Current Savings Balance for 6847226299857821: 367588.92
Current Savings Balance for 0793710490620664: 4646209.86
Current Savings Balance for 8255171551994747: 3276728.86
Current Savings Balance for 1093278990669429: 1066993.82
Current Savings Balance for 1093278990669429: 1068805.06
Current Savings Balance for 8255171551994747: 3277690.04
